题号,题干长度,选项数,缺少选项,有答案,有解析,解析长度,问题数,具体问题
2024,98,0,A|B|C|D,否,否,0,3,完全缺少选项|缺少答案|缺少解析
1,34,4,无,否,否,0,2,缺少答案|缺少解析
2,127,4,无,否,否,0,2,缺少答案|缺少解析
3,180,4,无,否,否,0,2,缺少答案|缺少解析
4,88,4,无,否,否,0,2,缺少答案|缺少解析
5,131,4,无,否,否,0,2,缺少答案|缺少解析
6,81,4,无,否,否,0,2,缺少答案|缺少解析
7,82,4,无,否,否,0,2,缺少答案|缺少解析
8,76,4,无,否,否,0,2,缺少答案|缺少解析
9,79,4,无,否,否,0,2,缺少答案|缺少解析
10,124,4,无,否,否,0,3,完全缺少选项|缺少答案|缺少解析
11,82,4,无,否,否,0,2,缺少答案|缺少解析
12,213,4,无,否,否,0,2,缺少答案|缺少解析
13,135,4,无,否,否,0,2,缺少答案|缺少解析
14,84,4,无,否,否,0,2,缺少答案|缺少解析
15,58,4,无,否,否,0,2,缺少答案|缺少解析
16,67,4,无,否,否,0,2,缺少答案|缺少解析
17,138,4,无,否,否,0,2,缺少答案|缺少解析
18,205,4,无,否,否,0,2,缺少答案|缺少解析
19,81,4,无,否,否,0,2,缺少答案|缺少解析
20,161,4,无,否,否,0,2,缺少答案|缺少解析
21,140,4,无,否,否,0,2,缺少答案|缺少解析
22,53,4,无,否,否,0,2,缺少答案|缺少解析
23,77,4,无,否,否,0,2,缺少答案|缺少解析
24,133,4,无,否,否,0,2,缺少答案|缺少解析
25,120,4,无,否,否,0,2,缺少答案|缺少解析
26,169,4,无,否,否,0,2,缺少答案|缺少解析
27,108,4,无,否,否,0,2,缺少答案|缺少解析
28,93,4,无,否,否,0,2,缺少答案|缺少解析
30,391,0,A|B|C|D,否,否,0,3,完全缺少选项|缺少答案|缺少解析
30,155,4,无,否,否,0,3,完全缺少选项|缺少答案|缺少解析
30,425,0,A|B|C|D,否,否,0,3,完全缺少选项|缺少答案|缺少解析
31,189,4,无,否,否,0,2,缺少答案|缺少解析
32,18,4,无,否,否,0,2,缺少答案|缺少解析
33,100,4,无,否,否,0,2,缺少答案|缺少解析
34,86,4,无,否,否,0,2,缺少答案|缺少解析
35,115,4,无,否,否,0,2,缺少答案|缺少解析
36,97,4,无,否,否,0,2,缺少答案|缺少解析
37,117,4,无,否,否,0,2,缺少答案|缺少解析
38,98,4,无,否,否,0,2,缺少答案|缺少解析
39,65,4,无,否,否,0,2,缺少答案|缺少解析
40,94,4,无,否,否,0,2,缺少答案|缺少解析
41,72,4,无,否,否,0,2,缺少答案|缺少解析
42,126,4,无,否,否,0,2,缺少答案|缺少解析
43,67,4,无,否,否,0,2,缺少答案|缺少解析
44,152,4,无,否,否,0,2,缺少答案|缺少解析
